"Statistic Label","Month","Type of Residential Property","UNIT","VALUE"
"Percentage Change over 1 month for Residential Property Price Index","2019 November","Dublin - all residential properties","%","-0.2"
"Percentage Change over 1 month for Residential Property Price Index","2019 December","Dublin - all residential properties","%","-1.6"
"Percentage Change over 1 month for Residential Property Price Index","2020 January","Dublin - all residential properties","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2020 February","Dublin - all residential properties","%","0.1"
"Percentage Change over 1 month for Residential Property Price Index","2020 March","Dublin - all residential properties","%","0.1"
"Percentage Change over 1 month for Residential Property Price Index","2020 April","Dublin - all residential properties","%","-0.4"
"Percentage Change over 1 month for Residential Property Price Index","2020 May","Dublin - all residential properties","%","-0.2"
"Percentage Change over 1 month for Residential Property Price Index","2020 June","Dublin - all residential properties","%","-0.2"
"Percentage Change over 1 month for Residential Property Price Index","2020 July","Dublin - all residential properties","%","-0.2"
"Percentage Change over 1 month for Residential Property Price Index","2020 August","Dublin - all residential properties","%","0"
"Percentage Change over 1 month for Residential Property Price Index","2020 September","Dublin - all residential properties","%","0.1"
"Percentage Change over 1 month for Residential Property Price Index","2020 October","Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2020 November","Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2020 December","Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2021 January","Dublin - all residential properties","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2021 February","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2021 March","Dublin - all residential properties","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2021 April","Dublin - all residential properties","%","1"
"Percentage Change over 1 month for Residential Property Price Index","2021 May","Dublin - all residential properties","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2021 June","Dublin - all residential properties","%","1.3"
"Percentage Change over 1 month for Residential Property Price Index","2021 July","Dublin - all residential properties","%","1.5"
"Percentage Change over 1 month for Residential Property Price Index","2021 August","Dublin - all residential properties","%","2.1"
"Percentage Change over 1 month for Residential Property Price Index","2021 September","Dublin - all residential properties","%","1.3"
"Percentage Change over 1 month for Residential Property Price Index","2021 October","Dublin - all residential properties","%","0.9"
"Percentage Change over 1 month for Residential Property Price Index","2021 November","Dublin - all residential properties","%","1"
"Percentage Change over 1 month for Residential Property Price Index","2021 December","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2022 January","Dublin - all residential properties","%","0.5"
"Percentage Change over 1 month for Residential Property Price Index","2022 February","Dublin - all residential properties","%","0.6"
"Percentage Change over 1 month for Residential Property Price Index","2022 March","Dublin - all residential properties","%","0.3"
"Percentage Change over 1 month for Residential Property Price Index","2022 April","Dublin - all residential properties","%","0.2"
"Percentage Change over 1 month for Residential Property Price Index","2022 May","Dublin - all residential properties","%","0.7"
"Percentage Change over 1 month for Residential Property Price Index","2022 June","Dublin - all residential properties","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2022 July","Dublin - all residential properties","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2022 August","Dublin - all residential properties","%","1.2"
"Percentage Change over 1 month for Residential Property Price Index","2022 September","Dublin - all residential properties","%","0.8"
"Percentage Change over 1 month for Residential Property Price Index","2022 October","Dublin - all residential properties","%","-0.1"
"Percentage Change over 1 month for Residential Property Price Index","2022 November","Dublin - all residential properties","%","-0.2"
"Percentage Change over 1 month for Residential Property Price Index","2022 December","Dublin - all residential properties","%","-0.3"
"Percentage Change over 1 month for Residential Property Price Index","2023 January","Dublin - all residential properties","%","-1.1"
"Percentage Change over 1 month for Residential Property Price Index","2023 February","Dublin - all residential properties","%","-0.5"
"Percentage Change over 1 month for Residential Property Price Index","2023 March","Dublin - all residential properties","%","-0.8"
"Percentage Change over 1 month for Residential Property Price Index","2023 April","Dublin - all residential properties","%","-0.9"
"Percentage Change over 1 month for Residential Property Price Index","2023 May","Dublin - all residential properties","%","-0.2"
"Percentage Change over 1 month for Residential Property Price Index","2023 June","Dublin - all residential properties","%","0.4"
"Percentage Change over 1 month for Residential Property Price Index","2023 July","Dublin - all residential properties","%","0.2"
